# Program:featureCounts v1.6.3; Command:"featureCounts" "-a" "../../genome/NC_000021.gtf" "-o" "../counts/final_counts.txt" "-g" "gene_name" "-T" "2" "SRR849504_21.bam" "SRR849505_21.bam" "SRR849506_21.bam" "SRR849507_21.bam" "SRR849508_21.bam" "SRR849509_21.bam" "SRR849510_21.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR849504_21.bam	SRR849505_21.bam	SRR849506_21.bam	SRR849507_21.bam	SRR849508_21.bam	SRR849509_21.bam	SRR849510_21.bam
CBSL	NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9	6444868;6444869;6444869;6444869;6444869;6444869;6444869;6444869;6444869;6444869;6444869;6444869;6445540;6445540;6445540;6445540;6445540;6447736;6447736;6448481;6448481;6448481;6448481;6448481;6448481;6448481;6448481;6448481;6448481;6448481;6448481;6449823;6449823;6449823;6449823;6449823;6449823;6449823;6449823;6449823;6449823;6449823;6449969;6450512;6450512;6450512;6450512;6450512;6450512;6450512;6450512;6450512;6450512;6450512;6450512;6450904;6450904;6450904;6450904;6450904;6450904;6450904;6450904;6450904;6450904;6450904;6450904;6452119;6452119;6452119;6452119;6452119;6452119;6452119;6452119;6452119;6452119;6452119;6452119;6453989;6453989;6453989;6453989;6453989;6453989;6453989;6453989;6453989;6453989;6453989;6453989;6454631;6454631;6454631;6454631;6454631;6454631;6454631;6454631;6454631;6454631;6454631;6454631;6455578;6455578;6455578;6455578;6455578;6455578;6455578;6455578;6455578;6455578;6455578;6455578;6456881;6456881;6456881;6456881;6456881;6456881;6456881;6456881;6456881;6456881;6456881;6456881;6457065;6457065;6457065;6457065;6457065;6457065;6457065;6457065;6457065;6457065;6457065;6457065;6457294;6457294;6457294;6457294;6457294;6457294;6457294;6457294;6457294;6457294;6457294;6457294;6457921;6457921;6457921;6457921;6457921;6457921;6457921;6457921;6457921;6457921;6457921;6457921;6458203;6458203;6459456;6459456;6460187;6460187;6460187;6460187;6460187;6460187;6460187;6460187;6460187;6460187;6463663;6463663;6463663;6463663;6463663;6463663;6463663;6463663;6463663;6463663;6464944;6464944;6464944;6464944;6464944;6464944;6464944;6464944;6464944;6464944;6467013;6467448;6467448;6467448;6467448;6467448;6467903;6467903;6467903;6467903;6468418;6468418	6445325;6445325;6445661;6445661;6445325;6445661;6445325;6445661;6445325;6445661;6445661;6445661;6445661;6445661;6445661;6445661;6445661;6447777;6447777;6448565;6448565;6448565;6448565;6448565;6448565;6448565;6448565;6448565;6448565;6448565;6448565;6449931;6449931;6449931;6449931;6449931;6449931;6449931;6449931;6449931;6449931;6449931;6450085;6450646;6450646;6450646;6450646;6450646;6450646;6450646;6450646;6450646;6450646;6450646;6450646;6450981;6450981;6450981;6450981;6450981;6450981;6450981;6450981;6450981;6450981;6450981;6450981;6452224;6452224;6452224;6452224;6452224;6452224;6452224;6452224;6452224;6452224;6452224;6452224;6454073;6454073;6454073;6454073;6454073;6454073;6454073;6454073;6454073;6454073;6454073;6454073;6454756;6454756;6454756;6454756;6454756;6454756;6454756;6454756;6454756;6454756;6454756;6454756;6455669;6455669;6455669;6455669;6455669;6455669;6455669;6455669;6455669;6455669;6455669;6455669;6456950;6456950;6456950;6456950;6456950;6456950;6456950;6456950;6456950;6456950;6456950;6456950;6457199;6457199;6457199;6457199;6457199;6457199;6457199;6457199;6457199;6457199;6457199;6457199;6457373;6457373;6457373;6457373;6457373;6457373;6457373;6457373;6457373;6457373;6457373;6457373;6458055;6458055;6458055;6458055;6458055;6458055;6458055;6458055;6458055;6458055;6458055;6458055;6458290;6458290;6460032;6460032;6460293;6460293;6460293;6460293;6460293;6460293;6460293;6460293;6460293;6460293;6463879;6463879;6463879;6463879;6463879;6463879;6463879;6463879;6463879;6463879;6465019;6465019;6465019;6465019;6465019;6465019;6465019;6465019;6465019;6465019;6467197;6467623;6467623;6467623;6467623;6467623;6467942;6467942;6468109;6468109;6468621;6468621	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4026	0	14	14	4	20	30	22
U2AF1L5	NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9	6484623;6484623;6484623;6484623;6484623;6484623;6484623;6484623;6484623;6486138;6486138;6486138;6486138;6486138;6486138;6486138;6486138;6486138;6486322;6486322;6486322;6486322;6486322;6486322;6486322;6486322;6486322;6487107;6487107;6487107;6487107;6487107;6487107;6487107;6487363;6487363;6487363;6487363;6487363;6487363;6487363;6487363;6487363;6492131;6492131;6492131;6492131;6492131;6492131;6492255;6493044;6493044;6493044;6495993;6495993;6495993;6495993;6495993;6495993;6495993;6495993;6495993;6497180;6497180;6497464;6497464;6499129;6499129;6499129;6499129;6499129;6499129;6499129;6499129;6499129	6484916;6484916;6484916;6484916;6484916;6484916;6484916;6484916;6484916;6486230;6486230;6486230;6486230;6486230;6486230;6486230;6486230;6486230;6486455;6486455;6486455;6486455;6486455;6486455;6486455;6486455;6486455;6487205;6487205;6487205;6487205;6487205;6487205;6487205;6487412;6487412;6487412;6487412;6487412;6487412;6487412;6487412;6487412;6492197;6492197;6492197;6492197;6492197;6492197;6492292;6493110;6493110;6493110;6496080;6496080;6496080;6496080;6496080;6496080;6496080;6496080;6496080;6497233;6497233;6497523;6497523;6499969;6499969;6499969;6499284;6499284;6499248;6499248;6499248;6499248	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1885	8	4	3	8	2	13	12
CRYAA2	NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9	6499203;6501020;6560072;6561920;6562201;6562201;6563755;6563755	6499773;6501194;6560971;6562093;6562323;6562323;6564489;6564489	+;+;+;+;+;+;+;+	2678	0	0	1	0	0	0	2
LOC107985501	NC_000021.9	6507014	6508632	-	1619	0	0	0	0	0	0	0
LOC106780825	NC_000021.9;NC_000021.9	6532207;6532646	6532497;6532776	-;-	422	0	0	0	0	0	0	2
LOC102724677	NC_000021.9	6664984	6666396	+	1413	0	0	0	1	0	0	0
LOC105379497	NC_000021.9;NC_000021.9;NC_000021.9	6710659;6714647;6714850	6713341;6714762;6715081	-;-;-	3031	0	0	0	0	0	0	0
LOC110091777	NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9	6858450;6858450;6858450;6859038;6859038;6859038;6860006;6883130;6883130;6884478;6884478;6896995	6858643;6858701;6858701;6859216;6859216;6859216;6860100;6883223;6883223;6889340;6889340;6901489	+;+;+;+;+;+;+;+;+;+;+;+	9978	0	1	0	0	0	0	0
MIR8069-1	NC_000021.9;NC_000021.9	6859171;6859224	6859256;6859246	+;+	86	0	0	0	0	0	0	0
LOC100289085	NC_000021.9	6897167	6900994	+	3828	0	0	0	0	0	0	0
TERF1P8	NC_000021.9	6911032	6912513	+	1482	6	6	6	4	0	0	0
LOC101059907	NC_000021.9;NC_000021.9	6925000;6927538	6925043;6928057	+;+	564	2	4	0	0	3	4	1
LOC105379499	NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9	6984227;6993499;6993948;6993948;6995222;6995222;6995222;6997592	6986648;6993596;6995032;6995032;6997585;6997585;6995324;6997783	-;-;-;-;-;-;-;-	6161	6	0	1	12	5	0	2
LOC102724822	NC_000021.9	6992054	6993466	+	1413	1	0	0	4	2	1	1
LOC105379501	NC_000021.9;NC_000021.9;NC_000021.9	7037728;7041716;7041919	7040410;7041831;7042150	-;-;-	3031	0	0	0	0	0	0	0
LOC102724843	NC_000021.9;NC_000021.9;NC_000021.9	7048859;7081049;7085245	7049060;7081213;7087230	+;+;+	2353	51	24	34	13	37	15	4
CTBP2P10	NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9	7098158;7109978;7110481;7127202	7098578;7110160;7111842;7132932	+;+;+;+	7697	2	1	1	0	2	0	1
LOC105379502	NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9	7383973;7385652;7386381;7386625	7384001;7385765;7386537;7386734	+;+;+;+	410	0	0	0	0	0	0	0
LOC105379503	NC_000021.9;NC_000021.9;NC_000021.9	7419507;7423495;7423698	7422189;7423610;7423929	-;-;-	3031	0	0	0	0	0	0	0
LOC102724951	NC_000021.9;NC_000021.9;NC_000021.9	7430668;7462827;7467023	7430838;7462991;7469008	+;+;+	2322	52	25	34	12	53	17	6
LOC107987308	NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9	7479936;7485366;7491756;7491756;7492259;7492259	7480356;7485867;7491938;7491938;7493616;7493616	+;+;+;+;+;+	2464	0	0	0	0	0	1	0
CTBP2P9	NC_000021.9;NC_000021.9	7623699;7627792	7627555;7627977	-;-	4043	0	0	0	0	1	0	0
LOC102723360	NC_000021.9;NC_000021.9;NC_000021.9	7669397;7675414;7692153	7671382;7675578;7692201	-;-;-	2200	3	2	1	0	3	0	0
SMIM11B	NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9	7744951;7744962;7744962;7745025;7748899;7748899;7748899;7748899;7754952;7754952;7754952;7754952;7758105;7758105;7769187;7771567;7771567	7745038;7745038;7745038;7745650;7748987;7748987;7748987;7748987;7755118;7755118;7755118;7755118;7760557;7758630;7769375;7772253;7772253	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4285	4	5	8	9	10	7	1
FAM243B	NC_000021.9	7769588	7770548	-	961	0	0	1	0	0	0	1
LOC105379504	NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9	7776072;7776072;7777668;7777668;7778278;7778278;7789410;7789554;7792028	7776337;7776337;7777936;7777936;7778408;7786307;7789461;7789767;7792109	+;+;+;+;+;+;+;+;+	8913	0	0	0	0	0	0	0
SMIM34B	NC_000021.9;NC_000021.9	7788703;7793821	7789618;7793939	-;-	1035	0	0	0	0	0	0	0
KCNE1B	NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9	7816677;7816677;7816677;7825374;7828642;7828642;7829517;7829517	7819672;7819672;7819672;7825753;7828724;7828752;7829632;7829632	-;-;-;-;-;-;-;-	3603	0	0	0	4	0	3	0
LOC105379505	NC_000021.9;NC_000021.9	7854003;7856785	7854264;7857007	-;-	485	0	0	0	0	0	0	0
MIR6724-1	NC_000021.9;NC_000021.9	8205315;8205325	8205406;8205347	+;+	92	0	0	0	0	0	0	0
RNA45SN2	NC_000021.9	8205988	8219302	+	13315	4	0	43	2	2	4	0
MIR3648-1	NC_000021.9;NC_000021.9	8208473;8208500	8208652;8208520	+;+	180	0	0	0	0	0	0	0
RNA18SN2	NC_000021.9	8209631	8211499	+	1869	0	0	0	0	0	0	0
RNA5-8SN2	NC_000021.9	8212571	8212727	+	157	0	0	0	0	0	0	0
RNA28SN2	NC_000021.9	8213888	8218941	+	5054	0	0	0	0	0	0	0
